	A_agilis_DSM_375	P_alcaligenes_NBRC_14159	P_balearica_DSM_6083	P_boanensis_DB1	P_furukawaii_KF707	P_guguanensis_JCM_18416	P_indoloxydans_JCM_14246	P_jinjuensis_JCM_21621	P_lalkuanensis_MCC_3792	P_linyingensis_LMG_25967	P_nitritireducens_WZBFD3-5A	P_nitroreducens_NBRC_12694	P_oryzae_KCTC_33247	P_otitidis_DSM_17224	P_peli_DSM_17833	P_pseudoalcaligenes_NBRC_14167	P_resinovorans_DSM_21078	P_toyotomiensis_JCM_15604
A_agilis_DSM_375	1.0	0.13733755819938442	0.11643343464521044	0.1705700544223085	0.14382667908089303	0.1763294772817552	0.2232247876324482	0.13679152349486315	0.14402145263931995	0.14657641442320496	0.16508629081527984	0.16118848205843964	0.13080241750400318	0.18668576817325355	0.3419133286528002	0.22189089726024055	0.17757392052108584	0.2123571683934474
P_alcaligenes_NBRC_14159	0.13733755819938442	1.0	0.9619688231306321	0.9398569517177915	0.9427263609185065	0.9805689826969702	0.9579476906136477	0.9646341864217086	0.9548772695906537	0.9811999533522517	0.9677584230518065	0.9663550390460363	0.9762646681281032	0.9535713326464731	0.8974577139445108	0.9534611681447441	0.9482143208058306	0.9550469848079484
P_balearica_DSM_6083	0.11643343464521044	0.9619688231306321	1.0	0.9559848528255277	0.9165820201931263	0.9741665540240874	0.9685259557985811	0.9424731655770122	0.937545778144399	0.95410089356939	0.954836081730614	0.9544525603932916	0.9439963750165502	0.918248023809855	0.8884980050185836	0.9651901805643399	0.9396258477842044	0.963919808875197
P_boanensis_DB1	0.1705700544223085	0.9398569517177915	0.9559848528255277	1.0	0.9581616429606812	0.9614238862046953	0.9726687451180307	0.9346131355016375	0.9771405151036897	0.9207523461392637	0.9722810833209534	0.9717928427902066	0.902996815637493	0.9417306181400739	0.9071963188291303	0.9724076545915609	0.9871963528162222	0.9715492589309357
P_furukawaii_KF707	0.14382667908089303	0.9427263609185065	0.9165820201931263	0.9581616429606812	1.0	0.9468847526906665	0.9316677542092818	0.9595394751650903	0.98866715015256	0.9283044773579839	0.9755041325476058	0.9749218382133031	0.9199029351073656	0.9828529839117924	0.8479608960621752	0.9275394526743274	0.9814483240790557	0.9285044753226843
P_guguanensis_JCM_18416	0.1763294772817552	0.9805689826969702	0.9741665540240874	0.9614238862046953	0.9468847526906665	1.0	0.9891850037082089	0.9562663669501362	0.9643691330159065	0.9675257515110635	0.9713634966664552	0.9710084487560496	0.9575191038308294	0.9439123915483076	0.9231356383168273	0.9873263356991602	0.9648385539158534	0.9889290596299645
P_indoloxydans_JCM_14246	0.2232247876324482	0.9579476906136477	0.9685259557985811	0.9726687451180307	0.9316677542092818	0.9891850037082089	1.0	0.9351281970600299	0.9544842704086972	0.9436196725155677	0.9631263635276087	0.9624741212574022	0.9294474718241659	0.924790043754325	0.9420366182905651	0.999127528666246	0.9635021959345139	0.9966810628040264
P_jinjuensis_JCM_21621	0.13679152349486315	0.9646341864217086	0.9424731655770122	0.9346131355016375	0.9595394751650903	0.9562663669501362	0.9351281970600299	1.0	0.9623520979593889	0.9776300301667689	0.9794529289866492	0.9789291294877628	0.9751350144296922	0.9636429195195254	0.8450652042087143	0.9297920390231196	0.9504760838716704	0.9251643326618373
P_lalkuanensis_MCC_3792	0.14402145263931995	0.9548772695906537	0.937545778144399	0.9771405151036897	0.98866715015256	0.9643691330159065	0.9544842704086972	0.9623520979593889	1.0	0.9342689996916139	0.9873130435825712	0.9872717345144227	0.9221999416741657	0.9713738502543002	0.8823011973367965	0.9523704700922465	0.9956534649773046	0.9539156628043883
P_linyingensis_LMG_25967	0.14657641442320496	0.9811999533522517	0.95410089356939	0.9207523461392637	0.9283044773579839	0.9675257515110635	0.9436196725155677	0.9776300301667689	0.9342689996916139	1.0	0.9554596247187577	0.9542674116071203	0.9973314792736174	0.9443038656011246	0.8628869877587327	0.9385242019800732	0.9251485200940226	0.9360581641456285
